UNITNAME,ARCHIVE_PATH,ID
b'DES0959+2834',b'DEC/multiepoch/delve/r5918/DES0959+2834/p01',21655727
b'DES1000-1541',b'DEC/multiepoch/delve/r5918/DES1000-1541/p01',21655764
b'DES1154-0250',b'DEC/multiepoch/delve/r5918/DES1154-0250/p01',21658653
b'DES0702+1917',b'DEC/multiepoch/delve/r5918/DES0702+1917/p01',21648212
b'DES0721+2500',b'DEC/multiepoch/delve/r5918/DES0721+2500/p03',21649942
b'DES0748-0041',b'DEC/multiepoch/delve/r5918/DES0748-0041/p01',21650251
b'DES0753+0626',b'DEC/multiepoch/delve/r5918/DES0753+0626/p01',21650323
b'DES0800+0835',b'DEC/multiepoch/delve/r5918/DES0800+0835/p01',21650450
b'DES0800+2000',b'DEC/multiepoch/delve/r5918/DES0800+2000/p01',21650454
b'DES0800+2417',b'DEC/multiepoch/delve/r5918/DES0800+2417/p01',21650456
b'DES0801+0335',b'DEC/multiepoch/delve/r5918/DES0801+0335/p01',21650464
b'DES0801+1543',b'DEC/multiepoch/delve/r5918/DES0801+1543/p01',21650471
b'DES0801-0333',b'DEC/multiepoch/delve/r5918/DES0801-0333/p01',21650478
b'DES0805+0126',b'DEC/multiepoch/delve/r5918/DES0805+0126/p01',21650813
b'DES0806+0252',b'DEC/multiepoch/delve/r5918/DES0806+0252/p01',21650837
b'DES0806-0250',b'DEC/multiepoch/delve/r5918/DES0806-0250/p01',21650846
b'DES0807-0750',b'DEC/multiepoch/delve/r5918/DES0807-0750/p01',21650867
b'DES0811+0126',b'DEC/multiepoch/delve/r5918/DES0811+0126/p01',21650932
b'DES0811+2334',b'DEC/multiepoch/delve/r5918/DES0811+2334/p01',21650944
b'DES0811+2917',b'DEC/multiepoch/delve/r5918/DES0811+2917/p01',21650947
b'DES0811-0458',b'DEC/multiepoch/delve/r5918/DES0811-0458/p01',21650952
b'DES1145+1334',b'DEC/multiepoch/delve/r5918/DES1145+1334/p01',21658422
b'DES1145-0416',b'DEC/multiepoch/delve/r5918/DES1145-0416/p01',21658433
b'DES1146-0750',b'DEC/multiepoch/delve/r5918/DES1146-0750/p01',21658462
b'DES1146-1749',b'DEC/multiepoch/delve/r5918/DES1146-1749/p01',21658466
b'DES1147+2917',b'DEC/multiepoch/delve/r5918/DES1147+2917/p01',21658481
b'DES1147-2249',b'DEC/multiepoch/delve/r5918/DES1147-2249/p01',21658489
b'DES1148+0418',b'DEC/multiepoch/delve/r5918/DES1148+0418/p01',21658493
b'DES1148+2208',b'DEC/multiepoch/delve/r5918/DES1148+2208/p01',21658502
b'DES1148-0041',b'DEC/multiepoch/delve/r5918/DES1148-0041/p01',21658503
b'DES1148-0124',b'DEC/multiepoch/delve/r5918/DES1148-0124/p01',21658504
b'DES1148-1207',b'DEC/multiepoch/delve/r5918/DES1148-1207/p01',21658505
b'DES1148-1250',b'DEC/multiepoch/delve/r5918/DES1148-1250/p01',21658506
b'DES1148-1332',b'DEC/multiepoch/delve/r5918/DES1148-1332/p01',21658507
b'DES1148-1832',b'DEC/multiepoch/delve/r5918/DES1148-1832/p01',21658510
b'DES1149+2334',b'DEC/multiepoch/delve/r5918/DES1149+2334/p01',21658520
b'DES1149-0250',b'DEC/multiepoch/delve/r5918/DES1149-0250/p01',21658527
b'DES1150+0418',b'DEC/multiepoch/delve/r5918/DES1150+0418/p01',21658541
